,Company_Name,Rating,Reviews,Company_Type,Location_Info
8672,Life Care Logistic,3.6,(125),,
8673,Apex Kidney Care,3.9,(124),Healthcare,Mumbai +18 other locations
8674,Fourth Dimension Technologies,3.5,(124),IT Services & Consulting,Chennai +11 other locations
8675,Sangam Dairy,4.2,(124),,
8676,Delhi Public School Ghaziabad Society,3.2,(125),Education & Training,New Delhi +14 other locations
8677,FirstMeridian Business Services,3.7,(124),Recruitment,Bangalore / Bengaluru +19 other locations
8678,Uk Realty,3.8,(124),Real Estate,Mumbai +2 other locations
8679,R.k.industries,3.6,(123),Industrial Machinery,Chennai +35 other locations
8680,Futures Group,4.6,(123),Retail,New Delhi +44 other locations
8681,Chetak Enterprises,4.2,(123),Engineering & Construction,Mumbai +22 other locations
8682,Jayabheri Automotives,3.8,(123),Engineering & Construction,Visakhapatnam +7 other locations
8683,Floating Numbers Digital Solutions,3.2,(123),IT Services & Consulting,Kolkata +3 other locations
8684,Smarter BIZ Technologies,3.1,(123),IT Services & Consulting,Bangalore / Bengaluru +14 other locations
8685,Shri Ram ComSoft Pvt Ltd - SRCOMSOFT,3.2,(123),IT Services & Consulting,Jabalpur +4 other locations
8686,Be10X,4.2,(123),Education & Training,Kolkata +4 other locations
8687,SAN Engineering & Locomotive,4.0,(123),Industrial Machinery,Bangalore / Bengaluru +11 other locations
8688,Acent High Soft Technologies,4.9,(123),Recruitment,Noida +4 other locations
8689,BL Lifesciences,3.1,(122),Medical Equipment,New Delhi +14 other locations
8690,Indwell,3.5,(123),Engineering & Construction,Vijayawada +21 other locations
8691,T & T Infra,3.8,(123),Engineering & Construction,Pune +10 other locations
8692,Isgec Hitachi Zosen,3.6,(123),Industrial Machinery,Bharuch +7 other locations
8693,Airworks,3.7,(123),,
8694,Object Frontier Software,3.8,(123),IT Services & Consulting,Chennai +3 other locations
8695,Supriya Lifescience,3.7,(123),Pharma,Chiplun +10 other locations
8696,Enrich Agro Food Products,3.7,(123),FMCG,Rohtak +6 other locations
8697,Hager Electro,3.1,(122),Electrical Equipment,Pune +13 other locations
8698,Bubugao Communication,4.2,(123),,
8699,Nestor Pharmaceuticals,3.0,(122),Pharma,Faridabad +13 other locations
8700,Tokai Rika Minda,3.5,(123),Semiconductors,Bangalore / Bengaluru +7 other locations
8701,Merck Specialities,4.1,(123),Pharma,Bangalore / Bengaluru +24 other locations
8702,Jain Amar,2.9,(123),Retail,Ludhiana +15 other locations
8703,Tata Motors Insurance Broking And Advisory Services,4.0,(123),Insurance,Mumbai +39 other locations
8704,Apeejay Surrendra Group,3.5,(123),FMCG,Kolkata +21 other locations
8705,Pan Seeds,3.8,(123),Agriculture,Kolkata +32 other locations
8706,Cococart Ventures,3.5,(125),,
8707,GO MO Group AB,4.1,(123),Marketing & Advertising,Pune
8708,Kyocera Document Solutions India,3.2,(123),Printing & Publishing,Gurgaon / Gurugram +20 other locations
8709,Autobahn Trucking Corporation,4.1,(126),Automobile,Pune +20 other locations
8710,Eco Protection Engineers,4.2,(123),Engineering & Construction,Chennai +20 other locations
8711,Springworks,4.4,(123),Software Product,Bangalore / Bengaluru +4 other locations
8712,PGEIN,3.5,(123),Accounting & Auditing,Chandigarh +3 other locations
8713,Akrivia Automation,4.1,(123),IT Services & Consulting,Visakhapatnam +4 other locations
8714,Sai Construction,3.4,(123),Engineering & Construction,Bangalore / Bengaluru +30 other locations
8715,Yamaha Motors Solutions,3.1,(123),IT Services & Consulting,Faridabad +11 other locations
8716,Njs Engineers India,4.2,(123),Waste Management,New Delhi +19 other locations
8717,Keya Foods International Private Limited,3.9,(124),FMCG,Mumbai +25 other locations
8718,Manali Petrochemicals,3.5,(123),Chemicals,Chennai +4 other locations
8719,Local Company,3.9,(123),Real Estate,New Delhi +50 other locations
8720,Manali Petrochemicals,3.5,(123),Chemicals,Chennai +4 other locations
8721,Regus,3.2,(123),Facility Management Services,Mumbai +22 other locations
8722,Aryan International,3.3,(123),,
8723,Korn Ferry,3.2,(123),Management Consulting,Bangalore / Bengaluru +7 other locations
8724,Comed Chemicals,3.5,(121),Pharma,Vadodara +22 other locations
8725,Vi-son Industries,3.6,(123),Industrial Machinery,Pune +15 other locations
8726,Tranistics Data Technologies,3.5,(123),Software Product,Kolkata +4 other locations
8727,Smart IMS,3.9,(123),IT Services & Consulting,Hyderabad / Secunderabad +3 other locations
